Clone,Temperature,Treatment,Experiment,Stage,Survival,Mean.Rep
AD10_1,24,Control,Acute,B1,1,6
AD10_1,24,Control,Acute,B2,0.67,6.5
AD10_1,24,Predator,Acute,B0,1,NA
AD10_1,24,Predator,Acute,B1,1,2.67
AD10_1,24,Predator,Acute,B2,1,4.33
AD10_1,24,Control,Acclim,B0,1,NA
AD10_1,24,Control,Acclim,B1,1,6
AD10_1,24,Control,Acclim,B2,1,10.33
AD10_1,24,Control,Acclim,B3,NA,NA
AD10_1,24,Predator,Acclim,B0,1,NA
AD10_1,24,Predator,Acclim,B1,1,6.67
AD10_1,24,Predator,Acclim,B2,1,3.67
AD10_1,24,Predator,Acclim,B3,0.67,6.5
AD10_1,24,Predator,Acclim,B4,0.67,14
AD10_1,28,Control,Acute,B0,1,NA
AD10_1,28,Control,Acute,B1,0.33,4
AD10_1,28,Control,Acute,B2,0.33,3
AD10_1,28,Predator,Acute,B0,1,NA
AD10_1,28,Predator,Acute,B1,1,3.33
AD10_1,28,Predator,Acute,B2,1,4
AD10_1,28,Control,Acclim,B0,1,NA
AD10_1,28,Control,Acclim,B1,1,2.67
AD10_1,28,Control,Acclim,B2,0.67,6.5
AD10_1,28,Control,Acclim,B3,0.67,7
AD10_1,28,Predator,Acclim,B0,1,NA
AD10_1,28,Predator,Acclim,B1,0.67,1
AD10_1,28,Predator,Acclim,B2,0.67,5.5
AD10_1,28,Predator,Acclim,B3,0.67,5.5
Cyril,16,Control,Acute,B0,1,NA
Cyril,16,Control,Acute,B1,1,5.33
Cyril,16,Control,Acute,B2,1,11
Cyril,16,Predator,Acute,B0,1,NA
Cyril,16,Predator,Acute,B1,1,12.5
Cyril,16,Predator,Acute,B2,1,25
Cyril,16,Control,Acclim,B0,1,NA
Cyril,16,Control,Acclim,B1,1,12.67
Cyril,16,Control,Acclim,B2,1,17
Cyril,16,Control,Acclim,B3,NA,NA
Cyril,16,Predator,Acclim,B0,1,NA
Cyril,16,Predator,Acclim,B1,1,12
Cyril,16,Predator,Acclim,B2,1,17.67
Cyril,16,Predator,Acclim,B3,1,14
Cyril,20,Control,Acute,B0,1,NA
Cyril,20,Control,Acute,B1,1,10.67
Cyril,20,Control,Acute,B2,1,17.33
Cyril,20,Predator,Acute,B0,1,NA
